id,Source.Name,conduct_two_assessments,trainee_number,gender,stem_units,completion_method,quality_group_score,cognition,initial_rating_score,final_instructor_score,sea_command,land_command,command_final,thinking_ability_final,sea_performance_final,teamwork_final,stress_resilience_final,persistence_final,motivation,structures_test,sea_rowing,sea_rowing_test,fuel_regulator_test,navigation_test,gps_test,fire_extinguishing_test,marine_navigation_radar_test,professional_lecture,lecture_from_home,submarine_heating_exercise,topographic_map_exercise,raft_exercise,ps2_exercise,commander_qualities_exercise,billion_dollar_exercise,rowing,ship_interception_exercise,hole_digging,sociometric_stretchers,journey_1,journey_2,sociometric_rope,crawls,hydraulic_system_test,submarine_watch_exercise,m16_disassembly,m16_assembly,m16_final,psychologist_interview,psychologist_final,naval_officers_formula_score,number_of_trainees_in_group,commander_sociometric_position,friend_sociometric_position,commander_sociometric_ninths,friend_sociometric_ninths,commander_sociometric_percentile,cubes_in_darkness,pull_up_exercise,acid_stream_exercise,rowing_competition,material_evacuation_exercise,machinery_component_understanding,machinery_mechanical_system_analysis,machinery_drawing_analysis,machinery_understanding_physical_forces,machinery_final_suitability_score,machinery_recommendation,electronics_simulator_score,electronics_electrical_circuit_test,electronics_interview,electronics_final_suitability_score,electronics_recommendation
109,1.11.2020.XLSX,,10,unknown,2,not_completed,55,90,25,3,3,3,3,3,4,4,4,4,5,0,0,0,80,60,80,90,0,6,4,4,4,0,3,0,0,0,0,4,3,6,6,0,0,0,0,0,0,0,0,0,43,13,10,10,4,4,30.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
110,1.11.2020.XLSX,,19,unknown,3,completed,55,80,28,4,6,4,5,4,5,3,3,4,5,0,0,0,76,0,0,65,60,7,6,4,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,13,5,5,6,6,69.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
111,1.11.2020.XLSX,,20,unknown,3,completed,55,70,31,5,5,3,4,5,5,5,5,7,9,0,0,0,68,0,0,70,66,2,4,4,7,0,4,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,5,61,8,1,6,7,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
112,1.11.2020.XLSX,2.0,0,unknown,0,not_completed,55,80,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
113,1.11.2020.XLSX,,219,unknown,0,not_completed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
114,1.11.2020.XLSX,,21,unknown,3,completed,52,50,26,7,6,6,6,6,6,6,6,8,8,0,0,0,80,0,0,98,60,8,6,3,5,0,6,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,6,5,87.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
115,1.11.2020.XLSX,,10,unknown,2,not_completed,55,80,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
116,1.11.2020.XLSX,2.0,72,unknown,3,completed,55,80,0,6,5,6,5,6,6,5,4,7,8,0,0,0,40,0,60,44,22,5,0,3,4,0,3,0,4,0,0,5,6,5,5,0,0,0,0,0,0,0,0,4,57,11,5,4,5,5,63.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
117,1.11.2020.XLSX,,121,unknown,2,completed,54,70,31,5,3,6,5,5,3,5,3,3,5,100,100,100,100,100,100,0,0,4,6,0,0,6,4,6,5,4,5,2,4,5,5,5,6,0,2,6,6,6,0,0,53,13,5,8,6,5,69.2,0,5,0,0,5.0,8,8,8,9,1,0,57,8,8,8,1
117,1.11.2020.XLSX,,161,unknown,2,completed,54,70,31,3,4,4,4,4,2,4,4,1,9,100,40,60,79,0,80,58,0,8,0,5,5,2,6,8,0,3,6,6,2,2,4,7,1,0,0,0,0,0,0,0,59,12,4,4,6,5,75.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
118,1.11.2020.XLSX,,180,unknown,2,completed,54,70,27,5,0,4,4,5,0,4,4,5,5,100,100,60,48,60,50,90,39,6,5,3,3,5,7,3,3,0,0,4,4,5,0,2,0,0,0,0,0,0,0,0,0,13,3,4,7,6,84.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
119,1.11.2020.XLSX,,188,unknown,2,completed,56,70,32,3,3,3,3,6,5,6,4,3,3,0,100,40,66,19,60,0,0,2,4,3,4,2,7,0,6,3,6,4,2,6,6,3,2,0,0,0,0,0,0,0,46,10,8,6,4,5,35.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
120,1.11.2020.XLSX,,30,unknown,2,completed,56,90,31,4,5,0,5,4,0,5,5,5,8,100,80,60,69,46,70,90,54,7,1,5,4,4,3,4,0,0,0,5,6,5,5,5,0,0,0,0,0,0,0,0,64,13,3,3,6,6,84.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
121,1.11.2020.XLSX,,22,unknown,2,completed,52,60,23,4,4,2,3,3,4,6,3,6,7,0,0,0,80,0,0,100,60,5,3,6,5,0,3,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,6,5,75.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
122,1.11.2020.XLSX,,130,unknown,0,not_completed,54,70,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
123,1.11.2020.XLSX,,10,unknown,2,completed,55,80,27,3,3,3,3,3,4,3,4,3,5,0,0,0,86,0,0,100,60,3,7,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,3,6,6,93.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
124,1.11.2020.XLSX,,52,unknown,2,completed,49,30,28,6,5,5,5,6,5,6,6,6,9,80,100,60,50,30,60,0,0,6,5,0,5,6,4,6,0,0,3,0,5,6,6,6,5,36,3,6,6,5,0,0,67,12,1,1,9,7,100.0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
125,1.11.2020.XLSX,,23,unknown,0,completed,53,60,26,4,3,3,3,5,3,3,2,3,6,0,0,0,90,0,0,100,70,4,7,5,7,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,42,8,5,2,5,6,43.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
126,1.11.2020.XLSX,,120,unknown,2,completed,55,80,31,3,4,2,3,4,2,3,4,1,5,0,0,0,75,0,0,58,52,5,2,3,6,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,3,5,28.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
127,1.11.2020.XLSX,,120,unknown,3,not_completed,54,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
128,1.11.2020.XLSX,,172,unknown,2,completed,56,80,0,3,6,3,3,3,7,5,4,6,8,0,60,60,40,12,90,0,0,3,0,3,2,2,2,3,2,6,2,4,6,6,6,6,6,0,0,0,0,0,0,0,46,10,10,7,2,4,10.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
129,1.11.2020.XLSX,,30,unknown,2,completed,54,80,23,7,7,7,7,5,5,7,7,7,6,0,0,0,70,0,0,70,54,6,7,0,7,0,6,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,4,4,0,8,5,7,5,4,43.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
130,1.11.2020.XLSX,,30,unknown,2,completed,55,60,35,3,4,5,3,3,4,4,6,4,8,0,0,0,90,0,0,88,56,4,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,7,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
131,1.11.2020.XLSX,,319,unknown,0,completed,54,70,0,8,6,7,8,8,8,5,7,6,7,80,100,40,68,12,50,0,0,6,8,0,0,6,8,6,8,6,0,5,5,7,6,4,0,40,7,0,0,0,0,0,59,16,8,13,5,5,56.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
132,1.11.2020.XLSX,,50,unknown,2,not_completed,54,60,30,4,6,4,5,3,6,5,3,4,6,0,0,0,33,40,30,16,0,6,0,4,0,0,4,4,0,0,0,4,0,5,5,0,0,0,0,0,0,0,0,0,66,15,2,7,8,6,93.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
133,1.11.2020.XLSX,,94,unknown,0,not_completed,54,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
134,1.11.2020.XLSX,2.0,81,unknown,2,completed,56,90,0,3,3,2,1,3,5,5,4,5,4,60,40,20,32,16,70,0,0,6,0,0,0,5,2,1,2,4,2,7,4,6,6,6,7,40,3,0,0,8,0,0,46,16,13,5,4,6,25.0,0,5,5,0,6.0,0,0,0,0,0,0,0,0,0,0,0
135,1.11.2020.XLSX,,314,unknown,0,not_completed,54,80,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
136,1.11.2020.XLSX,,122,unknown,2,completed,56,80,30,2,3,3,2,2,3,3,3,3,3,100,80,20,60,26,40,32,0,3,0,2,3,2,4,3,3,0,3,0,8,6,5,2,0,44,4,0,0,3,0,0,52,13,2,1,6,7,92.3,4,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
137,1.11.2020.XLSX,,138,unknown,3,completed,56,90,33,0,6,7,6,6,6,7,6,7,8,80,40,20,50,56,50,0,0,4,5,0,4,7,6,5,6,0,1,0,5,5,5,6,6,28,5,0,0,6,0,0,64,14,6,2,6,7,64.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
138,1.11.2020.XLSX,,197,unknown,2,completed,55,70,31,6,2,6,6,4,6,6,6,6,7,0,40,20,26,16,30,0,0,5,7,0,7,6,4,6,6,7,4,7,6,6,7,6,6,0,6,0,0,3,0,0,49,12,8,6,5,5,45.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
139,1.11.2020.XLSX,,301,unknown,0,completed,55,70,32,6,5,4,6,7,6,6,5,6,5,0,100,20,56,0,60,0,0,6,6,0,7,6,8,6,0,6,6,7,7,7,6,7,6,0,0,0,0,0,0,0,68,12,1,1,8,8,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
140,1.11.2020.XLSX,2.0,10,unknown,2,completed,55,80,27,8,8,4,7,8,9,7,7,8,6,0,0,0,100,64,70,98,98,8,6,7,6,0,8,5,6,9,0,4,8,8,9,0,0,0,0,0,0,0,0,4,77,11,1,7,7,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
141,1.11.2020.XLSX,,11,unknown,2,not_completed,56,90,31,3,6,3,4,3,4,5,5,5,4,0,0,0,40,70,80,50,0,6,6,3,4,0,4,0,0,0,0,6,8,6,6,0,0,0,0,0,0,0,0,0,57,13,8,9,5,5,46.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
142,1.11.2020.XLSX,,30,unknown,3,completed,55,70,32,4,3,4,4,4,3,6,5,4,3,0,0,0,78,0,0,96,76,2,2,0,3,0,1,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,5,3,4,6,42.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
143,1.11.2020.XLSX,,157,unknown,2,completed,56,80,33,2,2,3,3,4,2,3,2,4,4,100,40,40,80,70,90,0,0,5,0,3,4,2,4,2,2,4,0,5,4,5,5,5,0,0,0,0,0,0,0,0,36,15,15,15,2,2,6.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
144,1.11.2020.XLSX,,48,unknown,2,completed,56,90,29,4,5,3,3,5,5,8,5,4,5,80,80,40,60,40,40,0,0,2,0,6,5,6,4,0,2,6,0,6,4,5,5,5,0,0,0,0,0,0,0,0,52,13,11,12,4,3,23.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
145,1.11.2020.XLSX,,10,unknown,3,completed,54,80,27,3,4,2,3,4,3,3,4,3,5,0,0,0,44,0,0,58,62,5,4,0,4,0,3,3,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,4,3,2,4,40.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
146,1.11.2020.XLSX,,84,unknown,0,not_completed,56,90,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
147,1.11.2020.XLSX,,115,unknown,0,not_completed,56,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
148,1.11.2020.XLSX,,164,unknown,2,completed,55,70,33,4,1,4,4,5,5,5,5,3,7,80,60,60,45,34,30,54,0,1,1,3,5,5,4,5,5,5,3,5,5,6,5,5,4,0,0,0,0,0,0,0,51,14,2,3,8,6,92.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
149,1.11.2020.XLSX,,110,unknown,2,completed,56,90,27,5,3,3,3,4,5,5,4,6,7,10,6,6,75,20,3,0,30,6,5,3,3,4,3,4,6,0,0,4,6,5,5,5,0,0,0,0,0,0,0,0,49,11,6,10,4,4,59.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
150,1.11.2020.XLSX,,70,unknown,0,not_completed,56,90,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
151,1.11.2020.XLSX,,40,unknown,2,completed,56,80,32,6,5,7,6,7,6,7,7,6,7,100,80,40,79,64,70,74,50,7,0,6,5,6,5,5,6,6,0,4,5,6,5,6,0,0,0,0,0,0,0,0,70,15,2,3,7,7,93.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
152,1.11.2020.XLSX,,136,unknown,2,completed,56,90,28,5,6,5,5,5,6,6,6,6,8,100,20,20,70,50,40,0,0,4,5,0,6,6,4,5,0,6,4,0,6,6,6,5,5,44,5,0,0,6,0,0,63,10,3,4,7,6,80.0,0,0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0
153,1.11.2020.XLSX,,15,unknown,2,completed,56,90,0,7,5,7,6,7,6,6,7,6,9,100,80,60,44,16,30,0,0,6,8,0,6,6,6,6,7,6,6,0,6,6,6,6,7,64,6,0,0,3,0,0,61,12,5,4,5,5,66.7,0,0,0,6,0.0,6,8,6,0,6,0,52,7,0,6,0
154,1.11.2020.XLSX,,0,unknown,0,not_completed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
155,1.11.2020.XLSX,,230,unknown,0,completed,56,90,36,4,2,3,2,3,5,4,3,4,4,40,0,0,20,10,14,0,0,3,0,0,0,4,2,3,1,4,2,0,4,5,5,3,5,0,0,0,0,0,0,0,38,14,13,14,4,4,14.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
156,1.11.2020.XLSX,2.0,158,unknown,2,completed,56,90,26,4,6,3,4,6,6,7,5,7,8,60,0,40,65,36,40,0,0,5,7,0,6,6,5,7,4,7,7,7,6,6,7,7,6,0,5,0,0,4,0,0,67,15,3,7,7,6,86.7,0,0,0,8,6.0,0,0,0,0,0,0,0,0,0,0,0
157,1.11.2020.XLSX,,121,unknown,2,completed,56,90,28,3,4,2,2,5,2,3,2,3,6,80,40,20,78,29,40,48,0,6,0,0,6,1,1,0,0,4,3,0,5,4,0,0,3,36,4,0,0,5,0,0,50,12,6,2,5,7,58.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
158,1.11.2020.XLSX,,308,unknown,0,not_completed,54,70,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
159,1.11.2020.XLSX,,50,unknown,3,completed,56,90,31,3,6,4,4,5,6,6,5,6,1,0,0,0,50,0,0,66,62,4,4,4,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,1,4,16.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
160,1.11.2020.XLSX,,75,unknown,2,completed,56,90,32,7,8,8,8,7,6,7,7,6,8,0,4,4,7,8,8,0,0,7,7,6,5,6,7,5,7,5,5,6,5,6,6,5,6,0,0,0,0,0,0,0,78,16,1,2,8,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
161,1.11.2020.XLSX,,325,unknown,3,not_completed,56,80,27,5,6,5,6,6,4,4,4,5,2,80,40,40,47,39,40,0,0,7,5,0,6,5,7,6,6,4,6,0,4,6,5,0,5,0,0,0,0,3,0,0,58,11,5,6,6,5,63.6,4,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
162,1.11.2020.XLSX,,102,unknown,3,completed,56,80,29,0,8,6,0,8,0,8,9,5,0,80,60,20,55,38,40,0,0,7,0,0,0,6,8,7,7,0,6,7,8,0,0,0,5,60,5,0,0,2,0,3,79,14,1,4,8,6,100.0,0,0,0,0,0.0,6,6,6,6,2,0,42,3,4,4,2
163,1.11.2020.XLSX,2.0,98,unknown,2,completed,54,80,23,6,7,7,6,5,6,7,6,4,3,60,100,60,79,60,50,0,0,7,6,5,0,4,7,4,0,5,0,4,6,5,6,6,0,0,6,0,0,4,0,0,71,14,2,2,7,7,92.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
164,1.11.2020.XLSX,,265,unknown,3,completed,55,70,30,2,2,4,2,4,2,4,3,3,3,80,80,40,36,4,30,32,36,5,0,0,0,3,4,0,0,3,0,0,0,0,0,0,0,48,3,0,0,4,0,0,38,8,8,7,1,4,12.5,0,5,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0
165,1.11.2020.XLSX,,28,unknown,2,completed,56,80,35,4,5,8,6,5,4,6,6,5,6,60,28,60,84,64,50,0,0,6,3,3,3,4,5,0,4,5,0,3,5,5,6,3,0,0,0,0,0,0,0,0,64,14,5,4,6,6,71.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
166,1.11.2020.XLSX,,703,unknown,0,not_completed,56,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
167,1.11.2020.XLSX,,47,unknown,2,completed,54,70,26,3,8,4,5,4,4,3,5,3,6,80,80,20,70,10,50,0,0,3,0,4,5,2,3,0,2,6,0,4,5,5,5,6,0,0,0,0,0,0,0,0,55,13,6,7,5,5,61.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
168,1.11.2020.XLSX,,69,unknown,2,completed,55,80,27,4,5,4,4,6,6,5,4,6,5,100,60,60,50,26,40,0,0,5,3,4,5,6,3,6,4,0,6,0,6,6,6,6,6,56,5,0,0,4,0,0,54,17,9,4,6,6,55.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
169,1.11.2020.XLSX,2.0,129,unknown,2,completed,56,80,30,5,6,7,6,3,5,7,3,5,8,80,60,20,40,20,50,30,0,2,7,0,3,5,3,4,3,5,5,0,8,6,8,0,6,0,5,5,5,5,0,0,66,11,2,2,7,7,90.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
170,1.11.2020.XLSX,,257,unknown,0,not_completed,56,90,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
171,1.11.2020.XLSX,,110,unknown,2,completed,55,90,26,6,5,6,6,5,6,7,6,6,3,80,80,80,46,0,40,30,60,6,0,6,7,6,7,7,0,0,0,7,7,6,7,7,0,0,0,0,0,0,3,3,69,12,1,1,9,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
172,1.11.2020.XLSX,,12,unknown,3,not_completed,56,80,40,6,4,3,4,6,5,6,5,5,7,0,0,0,79,44,70,100,0,7,0,4,0,0,6,0,0,3,0,7,7,5,5,0,0,0,0,0,0,0,0,0,66,14,4,5,6,5,78.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
173,1.11.2020.XLSX,,10,unknown,3,completed,56,80,32,6,8,6,7,6,6,8,7,7,4,100,60,40,75,27,60,34,52,7,6,6,7,7,6,7,4,5,0,7,5,5,5,5,0,0,0,0,0,0,0,0,81,14,1,9,7,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
174,1.11.2020.XLSX,,70,unknown,2,completed,56,90,32,7,6,7,7,7,7,7,6,6,9,100,40,40,80,60,70,0,0,7,8,6,7,7,6,7,6,0,6,5,7,6,6,7,8,0,0,0,0,0,0,0,71,13,3,7,7,5,84.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
